index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3394,male,China,3062.0,p,0.0009797517962116264,0.0005653827921929118,30,95,2006,2007
3395,female,China,3519.0,p,0.0002841716396703609,0.00028413126004107414,30,95,2006,2007
3396,,China,1120.0,p,0.0,0.0,30,39,2006,2007
3397,male,China,549.0,p,0.0,0.0,30,39,2006,2007
3398,female,China,671.0,p,0.0,0.0,30,39,2006,2007
3399,,China,1312.0,p,0.0,0.0,40,49,2006,2007
3400,male,China,597.0,p,0.0,0.0,40,49,2006,2007
3401,female,China,715.0,p,0.0,0.0,40,49,2006,2007
3402,,China,2438.0,p,0.00041017227235438887,0.000410088143080126,50,59,2006,2007
3403,male,China,1134.0,p,0.0008818342151675485,0.0008814453136204461,50,59,2006,2007
3404,female,China,1304.0,p,0.0,0.0,50,59,2006,2007
3405,,China,1071.0,p,0.0009337068160597573,0.0009332708100513652,60,69,2006,2007
3406,male,China,537.0,p,0.00186219739292365,0.0018604626953949177,60,69,2006,2007
3407,female,China,534.0,p,0.0,0.0,60,69,2006,2007
3408,,China,540.0,p,0.003703703703703704,0.002614059664717243,70,95,2006,2007
3409,male,China,235.0,p,0.00425531914893617,0.00424625562608155,70,95,2006,2007
3410,female,China,295.0,p,0.003389830508474576,0.003384080155719355,70,95,2006,2007
3411,,China,6581.0,p,0.000607810363166692,0.00030381280918559417,30,95,2006,2007
3412,male,China,3062.0,p,0.0009797517962116264,0.0005653827921929118,30,95,2006,2007
3413,female,China,3519.0,p,0.0002841716396703609,0.00028413126004107414,30,95,2006,2007
3414,,China,1120.0,p,0.0,0.0,30,39,2006,2007
3415,male,China,549.0,p,0.0,0.0,30,39,2006,2007
3416,female,China,671.0,p,0.0,0.0,30,39,2006,2007
3417,,China,1312.0,p,0.0,0.0,40,49,2006,2007
3418,male,China,597.0,p,0.0,0.0,40,49,2006,2007
3419,female,China,715.0,p,0.0,0.0,40,49,2006,2007
3420,,China,2438.0,p,0.00041017227235438887,0.000410088143080126,50,59,2006,2007
3421,male,China,1134.0,p,0.0008818342151675485,0.0008814453136204461,50,59,2006,2007
3422,female,China,1304.0,p,0.0,0.0,50,59,2006,2007
3423,,China,1071.0,p,0.0009337068160597573,0.0009332708100513652,60,69,2006,2007
3424,male,China,537.0,p,0.00186219739292365,0.0018604626953949177,60,69,2006,2007
3425,female,China,534.0,p,0.0,0.0,60,69,2006,2007
3426,,China,540.0,p,0.003703703703703704,0.002614059664717243,70,95,2006,2007
3427,male,China,235.0,p,0.00425531914893617,0.00424625562608155,70,95,2006,2007
3428,female,China,295.0,p,0.003389830508474576,0.003384080155719355,70,95,2006,2007
