index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
106,,USA,800.0,p,0.0,0.0,40,95,1988,1990
107,male,USA,516.0,p,0.0,0.0,40,95,1988,1990
108,female,USA,284.0,p,0.0,0.0,40,95,1988,1990
109,,USA,119.0,p,0.0,0.0,40,49,1988,1990
110,male,USA,78.0,p,0.0,0.0,40,49,1988,1990
111,female,USA,41.0,p,0.0,0.0,40,49,1988,1990
112,,USA,128.0,p,0.0,0.0,50,59,1988,1990
113,male,USA,85.0,p,0.0,0.0,50,59,1988,1990
114,female,USA,43.0,p,0.0,0.0,50,59,1988,1990
115,,USA,206.0,p,0.0,0.0,60,69,1988,1990
116,male,USA,148.0,p,0.0,0.0,60,69,1988,1990
117,female,USA,58.0,p,0.0,0.0,60,69,1988,1990
118,,USA,212.0,p,0.02358490566037736,0.010422367520976415,70,79,1988,1990
119,male,USA,117.0,p,0.017094017094017096,0.01198353987682868,70,79,1988,1990
120,female,USA,95.0,p,0.03157894736842105,0.017941928973195586,70,79,1988,1990
121,,USA,135.0,p,0.05185185185185185,0.019083294480578685,80,95,1988,1990
122,male,USA,88.0,p,0.03409090909090909,0.01934399102383678,80,95,1988,1990
123,female,USA,47.0,p,0.0851063829787234,0.04070215806788415,80,95,1988,1990
160,,USA,800.0,p,0.0,0.0,40,95,1988,1990
161,male,USA,516.0,p,0.0,0.0,40,95,1988,1990
162,female,USA,284.0,p,0.0,0.0,40,95,1988,1990
163,,USA,119.0,p,0.0,0.0,40,49,1988,1990
164,male,USA,78.0,p,0.0,0.0,40,49,1988,1990
165,female,USA,41.0,p,0.0,0.0,40,49,1988,1990
166,,USA,128.0,p,0.0,0.0,50,59,1988,1990
167,male,USA,85.0,p,0.0,0.0,50,59,1988,1990
168,female,USA,43.0,p,0.0,0.0,50,59,1988,1990
169,,USA,206.0,p,0.0,0.0,60,69,1988,1990
170,male,USA,148.0,p,0.0,0.0,60,69,1988,1990
171,female,USA,58.0,p,0.0,0.0,60,69,1988,1990
172,,USA,212.0,p,0.02358490566037736,0.010422367520976415,70,79,1988,1990
173,male,USA,117.0,p,0.017094017094017096,0.01198353987682868,70,79,1988,1990
