index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3747,,NOR,780,p,0.003846153846153847,0.002216303502180232,70,74,2009,2010
3748,,NOR,554,p,0.01444043321299639,0.005068467519804123,75,79,2009,2010
3749,,NOR,321,p,0.037383177570093455,0.010587960541404736,80,87,2009,2010
3750,,NOR,2631,p,0.009882174078297223,0.0019284539187731234,65,87,2009,2010
3751,,NOR,976,p,0.005122950819672132,0.002285177243765014,65,69,2009,2010
3752,,NOR,780,p,0.017948717948717947,0.0047537517535364,70,74,2009,2010
3753,,NOR,554,p,0.04332129963898917,0.008649259127782404,75,79,2009,2010
3754,,NOR,321,p,0.07165109034267912,0.014395093876438518,80,87,2009,2010
3755,,NOR,2631,p,0.025085518814139108,0.003048838222008084,65,87,2009,2010
3756,,NOR,976,p,0.008196721311475409,0.002886077211602164,65,69,2009,2010
3757,,NOR,780,p,0.0217948717948718,0.005228111312441432,70,74,2009,2010
3758,,NOR,554,p,0.05776173285198556,0.009911641686443056,75,79,2009,2010
3759,,NOR,321,p,0.10903426791277256,0.017396404213043812,80,87,2009,2010
3760,,NOR,2631,p,0.03496769289243633,0.0035813271241867594,65,87,2009,2010
3761,,NOR,976,p,0.5594262295081968,0.01589116813320358,65,69,2009,2010
3762,,NOR,780,p,0.6166666666666667,0.0174086954727423,70,74,2009,2010
3763,,NOR,554,p,0.7111913357400722,0.01925499699352876,75,79,2009,2010
3764,,NOR,321,p,0.7445482866043613,0.02434155552966901,80,87,2009,2010
3765,,NOR,2631,p,0.6016723679209426,0.00954420648674126,65,87,2009,2010
3766,female,NOR,603,p,0.5671641791044776,0.0201770345884815,65,69,2009,2010
3767,female,NOR,398,p,0.6206030150753769,0.02432273130587332,70,74,2009,2010
3768,female,NOR,288,p,0.6215277777777778,0.028579263511790708,75,79,2009,2010
3769,female,NOR,175,p,0.6742857142857143,0.03542593801931157,80,87,2009,2010
3770,male,NOR,365,p,0.5178082191780822,0.02615459137930415,65,69,2009,2010
3771,male,NOR,365,p,0.5506849315068493,0.02603638327460859,70,74,2009,2010
3772,male,NOR,234,p,0.6452991452991453,0.03127546199453382,75,79,2009,2010
3773,male,NOR,111,p,0.6306306306306306,0.0458095979499245,80,87,2009,2010
3774,,NOR,968,p,0.5475206611570248,0.01599786229143966,65,69,2009,2010
3775,,NOR,763,p,0.5858453473132372,0.01783242868771894,70,74,2009,2010
3776,,NOR,522,p,0.632183908045977,0.02110580055248076,75,79,2009,2010
3777,,NOR,286,p,0.5909090909090909,0.02907282495758324,80,87,2009,2010
3778,female,NOR,1464,p,0.605191256830601,0.012775242864629707,65,87,2009,2010
